query_id,data_source,pubmed_id,description,query,label
3_h,health_belief,https://en.wikipedia.org/wiki/Breast_cancer_chemotherapy,Does chemotherapy treat breast cancer?,chemotherapy treats breast cancer,1.0
3_h,health_belief,https://en.wikipedia.org/wiki/History_of_cancer_chemotherapy,Does chemotherapy treat breast cancer?,chemotherapy treats breast cancer,1.0
3_h,health_belief,https://en.wikipedia.org/wiki/Doxorubicin,Does chemotherapy treat breast cancer?,chemotherapy treats breast cancer,1.0
3_h,health_belief,https://en.wikipedia.org/wiki/Chemotherapy,Does chemotherapy treat breast cancer?,chemotherapy treats breast cancer,1.0
3_h,health_belief,https://en.wikipedia.org/wiki/Gemcitabine,Does chemotherapy treat breast cancer?,chemotherapy treats breast cancer,1.0
3_h,health_belief,https://en.wikipedia.org/wiki/Jerri_Nielsen,Does chemotherapy treat breast cancer?,chemotherapy treats breast cancer,1.0
3_h,health_belief,https://en.wikipedia.org/wiki/Triple-negative_breast_cancer,Does chemotherapy treat breast cancer?,chemotherapy treats breast cancer,1.0
3_h,health_belief,https://en.wikipedia.org/wiki/High-dose_chemotherapy_and_bone_marrow_transplant,Does chemotherapy treat breast cancer?,chemotherapy treats breast cancer,1.0
3_h,health_belief,https://en.wikipedia.org/wiki/Capecitabine,Does chemotherapy treat breast cancer?,chemotherapy treats breast cancer,1.0
3_h,health_belief,https://en.wikipedia.org/wiki/Methotrexate,Does chemotherapy treat breast cancer?,chemotherapy treats breast cancer,1.0
4_h,health_belief,https://en.wikipedia.org/wiki/Oral_sex,Does oral sex cause throat cancer?,oral sex causes throat cancer,1.0
4_h,health_belief,https://en.wikipedia.org/wiki/HPV-positive_oropharyngeal_cancer,Does oral sex cause throat cancer?,oral sex causes throat cancer,1.0
4_h,health_belief,https://en.wikipedia.org/wiki/Fellatio,Does oral sex cause throat cancer?,oral sex causes throat cancer,1.0
4_h,health_belief,https://en.wikipedia.org/wiki/Oropharyngeal_cancer,Does oral sex cause throat cancer?,oral sex causes throat cancer,1.0
4_h,health_belief,https://en.wikipedia.org/wiki/Head_and_neck_cancer,Does oral sex cause throat cancer?,oral sex causes throat cancer,1.0
4_h,health_belief,https://en.wikipedia.org/wiki/Cunnilingus,Does oral sex cause throat cancer?,oral sex causes throat cancer,1.0
4_h,health_belief,https://en.wikipedia.org/wiki/Laryngeal_cancer,Does oral sex cause throat cancer?,oral sex causes throat cancer,1.0
4_h,health_belief,https://en.wikipedia.org/wiki/Sexually_transmitted_infection,Does oral sex cause throat cancer?,oral sex causes throat cancer,1.0
4_h,health_belief,https://en.wikipedia.org/wiki/Human_papillomavirus_infection,Does oral sex cause throat cancer?,oral sex causes throat cancer,1.0
4_h,health_belief,https://en.wikipedia.org/wiki/Oral_cancer,Does oral sex cause throat cancer?,oral sex causes throat cancer,1.0
7_h,health_belief,https://en.wikipedia.org/wiki/Unnatural_Causes:_Is_Inequality_Making_Us_Sick%3F,Does stress cause sickness?,stress causes sickness,1.0
7_h,health_belief,https://en.wikipedia.org/wiki/Euthyroid_sick_syndrome,Does stress cause sickness?,stress causes sickness,1.0
7_h,health_belief,https://en.wikipedia.org/wiki/Hypoxia_(medical),Does stress cause sickness?,stress causes sickness,1.0
7_h,health_belief,https://en.wikipedia.org/wiki/Havana_syndrome,Does stress cause sickness?,stress causes sickness,1.0
7_h,health_belief,https://en.wikipedia.org/wiki/Combat_stress_reaction,Does stress cause sickness?,stress causes sickness,1.0
7_h,health_belief,https://en.wikipedia.org/wiki/Sick_building_syndrome,Does stress cause sickness?,stress causes sickness,1.0
7_h,health_belief,https://en.wikipedia.org/wiki/Altitude_sickness,Does stress cause sickness?,stress causes sickness,1.0
7_h,health_belief,https://en.wikipedia.org/wiki/Leisure_sickness,Does stress cause sickness?,stress causes sickness,1.0
7_h,health_belief,https://en.wikipedia.org/wiki/Sickness_behavior,Does stress cause sickness?,stress causes sickness,1.0
7_h,health_belief,https://en.wikipedia.org/wiki/Chronic_stress,Does stress cause sickness?,stress causes sickness,1.0
8_h,health_belief,https://en.wikipedia.org/wiki/Hair_loss,Does medication cause hair loss?,medication causes hair loss,1.0
8_h,health_belief,https://en.wikipedia.org/wiki/Management_of_hair_loss,Does medication cause hair loss?,medication causes hair loss,1.0
8_h,health_belief,https://en.wikipedia.org/wiki/Pattern_hair_loss,Does medication cause hair loss?,medication causes hair loss,1.0
8_h,health_belief,https://en.wikipedia.org/wiki/Alopecia_areata,Does medication cause hair loss?,medication causes hair loss,1.0
8_h,health_belief,https://en.wikipedia.org/wiki/Scarring_hair_loss,Does medication cause hair loss?,medication causes hair loss,1.0
8_h,health_belief,https://en.wikipedia.org/wiki/Non_scarring_hair_loss,Does medication cause hair loss?,medication causes hair loss,1.0
8_h,health_belief,https://en.wikipedia.org/wiki/Hypertrichosis,Does medication cause hair loss?,medication causes hair loss,1.0
8_h,health_belief,https://en.wikipedia.org/wiki/Finasteride,Does medication cause hair loss?,medication causes hair loss,1.0
8_h,health_belief,https://en.wikipedia.org/wiki/Madarosis,Does medication cause hair loss?,medication causes hair loss,1.0
8_h,health_belief,https://en.wikipedia.org/wiki/Minoxidil,Does medication cause hair loss?,medication causes hair loss,1.0
9_h,health_belief,https://en.wikipedia.org/wiki/Teenage_Mutant_Milk-Caused_Hurdles,Does milk cause acne?,milk causes acne,1.0
9_h,health_belief,https://en.wikipedia.org/wiki/Acne,Does milk cause acne?,milk causes acne,1.0
9_h,health_belief,https://en.wikipedia.org/wiki/Chocolate,Does milk cause acne?,milk causes acne,1.0
9_h,health_belief,https://simple.wikipedia.org/wiki/Acne,Does milk cause acne?,milk causes acne,1.0
9_h,health_belief,https://en.wikipedia.org/wiki/Minocycline,Does milk cause acne?,milk causes acne,1.0
9_h,health_belief,https://en.wikipedia.org/wiki/Milium_(dermatology),Does milk cause acne?,milk causes acne,1.0
9_h,health_belief,https://en.wikipedia.org/wiki/Chhurpi,Does milk cause acne?,milk causes acne,1.0
9_h,health_belief,https://en.wikipedia.org/wiki/Health_effects_of_chocolate,Does milk cause acne?,milk causes acne,1.0
9_h,health_belief,https://en.wikipedia.org/wiki/Buttermilk,Does milk cause acne?,milk causes acne,1.0
9_h,health_belief,https://en.wikipedia.org/wiki/Vegan_cheese,Does milk cause acne?,milk causes acne,1.0
11_h,health_belief,https://en.wikipedia.org/wiki/Nasal_polyp,Does nasal polyp cause nasal block?,nasal polyp causes nasal block,1.0
11_h,health_belief,https://en.wikipedia.org/wiki/Nasal_congestion,Does nasal polyp cause nasal block?,nasal polyp causes nasal block,1.0
11_h,health_belief,https://en.wikipedia.org/wiki/Aspirin_exacerbated_respiratory_disease,Does nasal polyp cause nasal block?,nasal polyp causes nasal block,1.0
11_h,health_belief,https://en.wikipedia.org/wiki/Rhinorrhea,Does nasal polyp cause nasal block?,nasal polyp causes nasal block,1.0
11_h,health_belief,https://en.wikipedia.org/wiki/Rhinolith,Does nasal polyp cause nasal block?,nasal polyp causes nasal block,1.0
11_h,health_belief,https://en.wikipedia.org/wiki/Anosmia,Does nasal polyp cause nasal block?,nasal polyp causes nasal block,1.0
11_h,health_belief,https://en.wikipedia.org/wiki/Empty_nose_syndrome,Does nasal polyp cause nasal block?,nasal polyp causes nasal block,1.0
11_h,health_belief,https://en.wikipedia.org/wiki/Nasal_septal_hematoma,Does nasal polyp cause nasal block?,nasal polyp causes nasal block,1.0
11_h,health_belief,https://en.wikipedia.org/wiki/Sinusitis,Does nasal polyp cause nasal block?,nasal polyp causes nasal block,1.0
11_h,health_belief,https://en.wikipedia.org/wiki/Mouth_breathing,Does nasal polyp cause nasal block?,nasal polyp causes nasal block,1.0
12_h,health_belief,https://en.wikipedia.org/wiki/Benign_prostatic_hyperplasia,Does cialis treat enlarged prostrate?,cialis treats enlarged prostrate,1.0
12_h,health_belief,https://en.wikipedia.org/wiki/Tadalafil,Does cialis treat enlarged prostrate?,cialis treats enlarged prostrate,1.0
12_h,health_belief,https://en.wikipedia.org/wiki/5%CE%B1-Reductase_inhibitor,Does cialis treat enlarged prostrate?,cialis treats enlarged prostrate,1.0
12_h,health_belief,https://en.wikipedia.org/wiki/Prostate_cancer,Does cialis treat enlarged prostrate?,cialis treats enlarged prostrate,1.0
12_h,health_belief,https://en.wikipedia.org/wiki/Sildenafil,Does cialis treat enlarged prostrate?,cialis treats enlarged prostrate,1.0
12_h,health_belief,https://en.wikipedia.org/wiki/Tamsulosin,Does cialis treat enlarged prostrate?,cialis treats enlarged prostrate,1.0
12_h,health_belief,https://en.wikipedia.org/wiki/Finasteride,Does cialis treat enlarged prostrate?,cialis treats enlarged prostrate,1.0
12_h,health_belief,https://en.wikipedia.org/wiki/Alpha_blocker,Does cialis treat enlarged prostrate?,cialis treats enlarged prostrate,1.0
12_h,health_belief,https://en.wikipedia.org/wiki/ExtenZe,Does cialis treat enlarged prostrate?,cialis treats enlarged prostrate,1.0
12_h,health_belief,https://en.wikipedia.org/wiki/Category:Erectile_dysfunction_drugs,Does cialis treat enlarged prostrate?,cialis treats enlarged prostrate,1.0
13_h,health_belief,https://en.wikipedia.org/wiki/Garlic_breath,Does diet cause bad breathe?,diet causes bad breathe,1.0
13_h,health_belief,https://en.wikipedia.org/wiki/Rumination_syndrome,Does diet cause bad breathe?,diet causes bad breathe,1.0
13_h,health_belief,https://en.wikipedia.org/wiki/Wikipedia:Reference_desk/Archives/Miscellaneous/2012_August_1,Does diet cause bad breathe?,diet causes bad breathe,1.0
13_h,health_belief,https://en.wikipedia.org/wiki/Oral_hygiene,Does diet cause bad breathe?,diet causes bad breathe,1.0
13_h,health_belief,https://en.wikipedia.org/wiki/Scurvy,Does diet cause bad breathe?,diet causes bad breathe,1.0
13_h,health_belief,https://en.wikipedia.org/wiki/Gastroesophageal_reflux_disease,Does diet cause bad breathe?,diet causes bad breathe,1.0
13_h,health_belief,https://en.wikipedia.org/wiki/Lactose_intolerance,Does diet cause bad breathe?,diet causes bad breathe,1.0
13_h,health_belief,https://en.wikipedia.org/wiki/High-protein_diet,Does diet cause bad breathe?,diet causes bad breathe,1.0
13_h,health_belief,https://en.wikipedia.org/wiki/Calculus_(dental),Does diet cause bad breathe?,diet causes bad breathe,1.0
13_h,health_belief,https://en.wikipedia.org/wiki/Scarsdale_diet,Does diet cause bad breathe?,diet causes bad breathe,1.0
14_h,health_belief,https://en.wikipedia.org/wiki/Listeriosis,Does listeria cause miscarriage?,listeria causes miscarriage,1.0
14_h,health_belief,https://en.wikipedia.org/wiki/Recurrent_miscarriage,Does listeria cause miscarriage?,listeria causes miscarriage,1.0
14_h,health_belief,https://en.wikipedia.org/wiki/2011_United_States_listeriosis_outbreak,Does listeria cause miscarriage?,listeria causes miscarriage,1.0
14_h,health_belief,https://en.wikipedia.org/wiki/Listeria,Does listeria cause miscarriage?,listeria causes miscarriage,1.0
14_h,health_belief,https://en.wikipedia.org/wiki/List_of_foodborne_illness_outbreaks_by_death_toll,Does listeria cause miscarriage?,listeria causes miscarriage,1.0
14_h,health_belief,https://en.wikipedia.org/wiki/List_of_foodborne_illness_outbreaks_in_the_United_States,Does listeria cause miscarriage?,listeria causes miscarriage,1.0
14_h,health_belief,https://en.wikipedia.org/wiki/Postpartum_infections,Does listeria cause miscarriage?,listeria causes miscarriage,1.0
14_h,health_belief,"https://en.wikipedia.org/wiki/Anne,_Queen_of_Great_Britain",Does listeria cause miscarriage?,listeria causes miscarriage,1.0
14_h,health_belief,https://en.wikipedia.org/wiki/Leptospirosis,Does listeria cause miscarriage?,listeria causes miscarriage,1.0
14_h,health_belief,https://en.wikipedia.org/wiki/Cheese_plate,Does listeria cause miscarriage?,listeria causes miscarriage,1.0
